# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.0429400329369287,2.7475881880774136,0.28662004071501956,0,3.0,0.8316973317423904,0.0,0.0,0.0
 0.08943537889682668,1.054937913311672,2.747648207535674,0.28662004071501956,0.26830613669048003,3.0,0.8316973317423904,0.0,15.435048363094973,0.0
 0.12647208749395392,1.0669313204211988,2.7478278806756076,0.8582834291215338,0.3794162624818617,2.999999999999999,0.8283123330197089,0.0,20.03159170421922,0.0
 0.1548872448980592,1.0789199032434538,2.748126629644942,1.4274842604516924,0.46466173469417754,3.0,0.8247785964663904,0.0,23.65781638262371,0.0
 0.17884025882284477,1.0909033107563828,2.748543876591407,1.9941602656946984,0.5365207764685342,2.9999999999999987,0.8211016002375258,0.0,26.731177675448922,0.0
 0.19994263846229163,1.1028811919379313,2.74907904366273,2.5582517252115284,0.5998279153868747,2.999999999999996,0.8172868845796273,0.0,29.42846743472361,0.0
 0.2190210956234533,1.1148531957660446,2.7497315530066397,3.1197014804835437,0.6570632868703598,3.0000000000000013,0.8133400382579832,0.0,31.84543945858144,0.0
 0.23656688773715953,1.1268189712186671,2.750500826770865,3.6784549409934315,0.7097006632114785,3.0000000000000018,0.8092666857603926,0.0,34.04116739259761,0.0
 0.2529002037819955,1.1387781672737451,2.7513862871031334,4.234460086551893,0.7587006113459864,2.9999999999999982,0.8050724746033615,0.0,36.05525192873595,0.0
 0.2682435268481214,1.1507304329092234,2.7523873561511745,4.787667465125048,0.8047305805443642,3.0000000000000036,0.800763063011292,0.0,37.91583690429943,0.0
 0.2827589052795253,1.1626754171030473,2.753503456062716,5.338030186334344,0.8482767158385759,3.000000000000004,0.7963441082673127,0.0,39.64381812724139,0.0
 0.2965687185210729,1.1746127688331625,2.754734008985486,5.885503910853426,0.8897061555632187,3.0,0.7918212553237097,0.0,41.255250219729156,0.0
 0.30976807913704424,1.1865421370775138,2.756078437067214,6.430046835805763,0.9293042374111327,2.999999999999996,0.787200125892409,0.0,42.762814627571615,0.0
 0.32243265337786103,1.198463170814047,2.757536162455628,6.97161967640293,0.9672979601335829,2.999999999999991,0.7824863082528277,0.0,44.17676142050995,0.0
 0.3346238133965856,1.2103755190207068,2.759106607298456,7.5101856439893835,1.0038714401897566,3.0,0.7776853473623779,0.0,45.50553864459023,0.0
 0.3463921561669868,1.2222788306754389,2.760789193743427,8.04571042071066,1.0391764685009603,3.000000000000005,0.7728027355807124,0.0,46.75622724659119,0.0
 0.3577799806685797,1.2341727547561885,2.7625833439382688,8.578162130951435,1.0733399420057388,2.9999999999999853,0.7678439040482357,0.0,47.93485022972677,0.0
 0.3688230772118904,1.2460569402409005,2.764488480030711,9.107511309827448,1.1064692316356708,2.99999999999999,0.7628142144142758,0.0,49.04659772091004,0.0
 0.379552048913178,1.257931036107521,2.7665040241684804,9.63373086881953,1.1386561467395337,3.00000000000001,0.757718951404037,0.0,50.095994246302695,0.0
 0.3899933067011901,1.269794691333995,2.768629398499307,10.156796058891945,1.1699799201035699,2.9999999999999893,0.752563315614053,0.0,51.08702527467879,0.0
 0.4001698313557849,1.2816475548982673,2.7708640251709187,10.67668443112962,1.2005094940673542,2.9999999999999947,0.7473524171698638,0.0,52.02323447965528,0.0
 0.41010176598633064,1.2934892757782837,2.7732073263310433,11.193375795251113,1.2303052979589915,3.0,0.7420912697873392,0.0,52.90779951603142,0.0
 0.41980688291670243,1.3053195029519893,2.77565872412741,11.706852176082865,1.259420648750107,3.0000000000000115,0.7367847853038895,0.0,53.74359179309309,0.0
 0.42930095607244795,1.3171378853973297,2.778217640707747,12.217097768219016,1.2879028682173435,2.9999999999999942,0.7314377689832078,0.0,54.53322414463369,0.0
 0.43859806125594564,1.3289440720922499,2.780883498219783,12.724098889086932,1.3157941837678366,3.000000000000012,0.7260549150892079,0.0,55.27908921401061,0.0
 0.447710820684934,1.340737712014695,2.783655718811246,13.227843930547794,1.3431324620548017,3.0,0.7206408031567799,0.0,55.9833906464298,0.0
 0.45665060394795814,1.3525184541426107,2.7865337246298645,13.72832330925609,1.3699518118438743,3.0000000000000124,0.7151998946742585,0.0,56.648168636160854,0.0
 0.46542769451673366,1.3642859474539422,2.7895169378233677,14.225529415930943,1.396283083550201,3.0000000000000124,0.7097365301867683,0.0,57.27532100301278,0.0
 0.4740514287725763,1.3760398409266346,2.7926047805394827,14.719456563679005,1.4221542863177288,3.0,0.7042549270376648,0.0,57.86662071191183,0.0
 0.4825303129015297,1.3877797835386334,2.7957966749259393,15.210100935629404,1.447590938704589,3.0000000000000067,0.6987591773455404,0.0,58.423730500464735,0.0
 0.49087212182172685,1.3995054242678837,2.799092043130465,15.697460531869373,1.4726163654651805,2.9999999999999933,0.6932532466062324,0.0,58.94821519862907,0.0
 0.4990839834110972,1.4112164120923312,2.8024903073007885,16.181535116020935,1.4972519502332917,3.0000000000000133,0.6877409724681649,0.0,59.441552125997646,0.0
 0.5071724506232214,1.4229123959899206,2.8059908895846384,16.662326161429835,1.5215173518696643,3.0000000000000204,0.6822260641389692,0.0,59.905139939898596,0.0
 0.5151435635572092,1.4345930249385979,2.809593212129743,17.139836797217114,1.5454306906716277,2.999999999999972,0.6767121019788345,0.0,60.340306185237274,0.0
